# Метеостанция Храброво / им. императрицы Елизаветы Петровны (аэропорт), Россия, METAR=UMKK, выборка с 21.05.2021 по 27.05.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UMKK&lang=ru
#
"Местное время в Храброво / им. императрицы Елизаветы Петровны (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"27.05.2022 23:30";"10.0";"751.9";"753.1";"76";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Незначительная (10-30%) 630 м";"10.0 и более";"6.0";
"27.05.2022 23:00";"10.0";"751.9";"753.1";"76";"Ветер, дующий с западо-юго-запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 22:30";"10.0";"751.9";"753.1";"76";"Ветер, дующий с западо-юго-запада";"8";"13";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 22:00";"10.0";"752.7";"753.9";"76";"Ветер, дующий с запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 21:30";"10.0";"751.9";"753.1";"76";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 21:00";"11.0";"752.7";"753.9";"72";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 20:30";"11.0";"752.7";"753.9";"72";"Ветер, дующий с запада";"9";"15";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 20:00";"11.0";"752.7";"753.9";"72";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 19:30";"12.0";"752.7";"753.9";"63";"Ветер, дующий с запада";"10";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"27.05.2022 19:00";"12.0";"751.9";"753.1";"63";"Ветер, дующий с запада";"10";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"27.05.2022 18:30";"13.0";"752.7";"753.9";"63";"Ветер, дующий с запада";"10";"16";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"27.05.2022 18:00";"13.0";"752.7";"753.9";"59";"Ветер, дующий с запада";"11";"16";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"27.05.2022 17:30";"14.0";"752.7";"753.9";"59";"Ветер, дующий с запада";"11";"16";"";"";"Незначительная (10-30%) 1080 м";"10.0 и более";"6.0";
"27.05.2022 17:00";"14.0";"752.7";"753.9";"59";"Ветер, дующий с запада";"13";"18";"";"";"Рассеянная (40-50%) 960 м";"10.0 и более";"6.0";
"27.05.2022 16:30";"14.0";"752.7";"753.9";"63";"Ветер, дующий с запада";"13";"18";"";"";"Рассеянная (40-50%) 930 м";"10.0 и более";"7.0";
"27.05.2022 16:00";"13.0";"752.7";"753.9";"63";"Ветер, дующий с запада";"14";"21";"";"";"Рассеянная (40-50%) 930 м";"10.0 и более";"6.0";
"27.05.2022 15:30";"13.0";"752.7";"753.9";"63";"Ветер, дующий с запада";"13";"18";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"6.0";
"27.05.2022 15:00";"13.0";"752.7";"753.9";"67";"Ветер, дующий с запада";"13";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"7.0";
"27.05.2022 14:30";"13.0";"752.7";"753.9";"67";"Ветер, дующий с запада";"13";"18";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"7.0";
"27.05.2022 14:00";"13.0";"751.9";"753.1";"72";"Ветер, дующий с запада";"13";"20";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"8.0";
"27.05.2022 13:30";"12.0";"751.9";"753.1";"72";"Ветер, дующий с запада";"13";"18";"";"";"Рассеянная (40-50%) 750 м";"10.0 и более";"7.0";
"27.05.2022 13:00";"12.0";"751.9";"753.1";"77";"Ветер, дующий с запада";"13";"18";"";"";"Рассеянная (40-50%) 690 м, кучево-дождевые облака";"10.0 и более";"8.0";
"27.05.2022 12:30";"13.0";"751.9";"753.1";"77";"Ветер, дующий с запада";"10";"";"";"";"Рассеянная (40-50%) 630 м, кучево-дождевые облака";"10.0 и более";"9.0";
"27.05.2022 12:00";"12.0";"751.9";"753.1";"88";"Ветер, дующий с западо-юго-запада";"9";"";"";"";"Рассеянная (40-50%) 600 м, кучево-дождевые облака";"10.0 и более";"10.0";
"27.05.2022 11:30";"11.0";"751.9";"753.1";"94";"Ветер, дующий с западо-юго-запада";"9";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 480 м, кучево-дождевые облака";"8.0";"10.0";
"27.05.2022 11:00";"14.0";"751.9";"753.1";"77";"Ветер, дующий с юго-запада";"7";"";"";"";"Разорванная (60-90%) 570 м, кучево-дождевые облака";"10.0 и более";"10.0";
"27.05.2022 10:30";"13.0";"751.9";"753.1";"77";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"9.0";
"27.05.2022 10:00";"14.0";"752.7";"753.9";"67";"Ветер, дующий с юго-запада";"7";"";"";"";"Рассеянная (40-50%) 720 м";"10.0 и более";"8.0";
"27.05.2022 09:30";"14.0";"752.7";"753.9";"67";"Ветер, дующий с западо-юго-запада";"8";"";"";"";"Рассеянная (40-50%) 720 м";"10.0 и более";"8.0";
"27.05.2022 09:00";"14.0";"752.7";"753.9";"63";"Ветер, дующий с западо-юго-запада";"9";"";"";"";"Рассеянная (40-50%) 720 м";"10.0 и более";"7.0";
"27.05.2022 08:30";"14.0";"753.4";"754.6";"63";"Ветер, дующий с западо-юго-запада";"9";"";"";"";"Рассеянная (40-50%) 720 м";"10.0 и более";"7.0";
"27.05.2022 08:00";"13.0";"753.4";"754.6";"67";"Ветер, дующий с запада";"7";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"7.0";
"27.05.2022 07:30";"13.0";"753.4";"754.6";"67";"Ветер, дующий с запада";"8";"";"";"";"Рассеянная (40-50%) 630 м";"10.0 и более";"7.0";
"27.05.2022 07:00";"13.0";"754.2";"755.4";"72";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"8.0";
"27.05.2022 06:30";"11.0";"754.2";"755.4";"82";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Рассеянная (40-50%) 1230 м";"10.0 и более";"8.0";
"27.05.2022 06:00";"11.0";"754.2";"755.4";"82";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Рассеянная (40-50%) 1320 м";"10.0 и более";"8.0";
"27.05.2022 05:30";"11.0";"754.2";"755.4";"77";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Рассеянная (40-50%) 1290 м";"10.0 и более";"7.0";
"27.05.2022 05:00";"11.0";"754.2";"755.4";"77";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"7.0";
"27.05.2022 04:30";"10.0";"755.0";"756.2";"88";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"27.05.2022 04:00";"9.0";"755.0";"756.2";"87";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"27.05.2022 03:30";"10.0";"755.0";"756.2";"82";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"27.05.2022 03:00";"11.0";"755.0";"756.2";"77";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"27.05.2022 02:30";"11.0";"755.0";"756.2";"77";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"27.05.2022 02:00";"11.0";"755.7";"756.9";"77";"Ветер, дующий с запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"27.05.2022 01:30";"11.0";"755.7";"756.9";"82";"Ветер, дующий с запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"27.05.2022 01:00";"11.0";"755.7";"756.9";"82";"Ветер, дующий с запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"27.05.2022 00:30";"12.0";"755.7";"756.9";"77";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"27.05.2022 00:00";"12.0";"755.7";"756.9";"72";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 23:30";"12.0";"755.7";"756.9";"72";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 23:00";"12.0";"756.5";"757.7";"72";"Ветер, дующий с запада";"9";"15";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 22:30";"12.0";"756.5";"757.7";"72";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 22:00";"13.0";"756.5";"757.7";"67";"Ветер, дующий с запада";"10";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 21:30";"12.0";"756.5";"757.7";"72";"Ветер, дующий с запада";"9";"14";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 21:00";"12.0";"756.5";"757.7";"77";"Ветер, дующий с запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"26.05.2022 20:30";"13.0";"756.5";"757.7";"67";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 20:00";"13.0";"756.5";"757.7";"67";"Ветер, дующий с запада";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 19:30";"14.0";"756.5";"757.7";"63";"Ветер, дующий с запада";"10";"15";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 19:00";"14.0";"756.5";"757.7";"63";"Ветер, дующий с запада";"11";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 18:30";"15.0";"756.5";"757.7";"59";"Ветер, дующий с запада";"12";"17";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"7.0";
"26.05.2022 18:00";"15.0";"756.5";"757.7";"59";"Ветер, дующий с запада";"12";"17";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"7.0";
"26.05.2022 17:30";"15.0";"756.5";"757.7";"63";"Ветер, дующий с запада";"13";"19";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"8.0";
"26.05.2022 17:00";"15.0";"755.7";"756.9";"63";"Ветер, дующий с запада";"12";"17";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"8.0";
"26.05.2022 16:30";"16.0";"755.7";"756.9";"63";"Ветер, дующий с запада";"13";"18";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"9.0";
"26.05.2022 16:00";"16.0";"755.7";"756.9";"59";"Ветер, дующий с запада";"12";"18";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"8.0";
"26.05.2022 15:30";"16.0";"755.7";"756.9";"63";"Ветер, дующий с запада";"12";"17";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"9.0";
"26.05.2022 15:00";"15.0";"755.7";"756.9";"72";"Ветер, дующий с запада";"12";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"10.0";
"26.05.2022 14:30";"16.0";"755.7";"756.9";"72";"Ветер, дующий с запада";"12";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"11.0";
"26.05.2022 14:00";"16.0";"755.7";"756.9";"77";"Ветер, дующий с запада";"10";"15";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"12.0";
"26.05.2022 13:30";"15.0";"755.7";"756.9";"82";"Ветер, дующий с запада";"8";"13";"";"";"Разорванная (60-90%) 450 м, кучево-дождевые облака";"10.0 и более";"12.0";
"26.05.2022 13:00";"13.0";"755.7";"756.9";"94";"Ветер, дующий с запада";"7";"";"";"";"Незначительная (10-30%) 300 м, разорванная (60-90%) 720 м, кучево-дождевые облака";"10.0 и более";"12.0";
"26.05.2022 12:30";"13.0";"755.7";"756.9";"94";"Ветер, дующий с запада";"7";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Незначительная (10-30%) 270 м, разорванная (60-90%) 660 м, кучево-дождевые облака";"9.0";"12.0";
"26.05.2022 12:00";"15.0";"755.7";"756.9";"77";"Ветер, дующий с западо-юго-запада";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"11.0";
"26.05.2022 11:30";"16.0";"755.7";"756.9";"68";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 1350 м";"10.0 и более";"10.0";
"26.05.2022 11:00";"16.0";"755.7";"756.9";"68";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"26.05.2022 10:30";"16.0";"755.7";"756.9";"72";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 1470 м";"10.0 и более";"11.0";
"26.05.2022 10:00";"13.0";"756.5";"757.7";"88";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"11.0";
"26.05.2022 09:30";"13.0";"756.5";"757.7";"82";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1410 м";"10.0 и более";"10.0";
"26.05.2022 09:00";"14.0";"756.5";"757.7";"77";"Ветер, дующий с запада";"7";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 1440 м";"10.0 и более";"10.0";
"26.05.2022 08:30";"14.0";"756.5";"757.7";"82";"Ветер, дующий с юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"26.05.2022 08:00";"13.0";"756.5";"757.7";"88";"Ветер, дующий с юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"26.05.2022 07:30";"13.0";"756.5";"757.7";"94";"Ветер, дующий с юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"26.05.2022 07:00";"12.0";"756.5";"757.7";"94";"Ветер, дующий с юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"26.05.2022 06:30";"12.0";"756.5";"757.7";"100";"Ветер, дующий с юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"26.05.2022 06:00";"11.0";"757.0";"758.2";"100";"Ветер, дующий с юго-запада";"4";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"11.0";
"26.05.2022 05:30";"10.0";"757.0";"758.2";"100";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 300 м";"6.0";"10.0";
"26.05.2022 05:00";"10.0";"757.0";"758.2";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Дымка";"";"Разорванная (60-90%) 60 м";"3.5";"10.0";
"26.05.2022 04:30";"10.0";"757.0";"758.2";"100";"Ветер, дующий с юго-запада";"4";"";"Туман";"";"Разорванная (60-90%) 60 м";"0.9";"10.0";
"26.05.2022 04:00";"10.0";"757.0";"758.2";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Туман";"";"Рассеянная (40-50%) 60 м";"0.4";"10.0";
"26.05.2022 03:30";"8.0";"757.8";"759.0";"100";"Ветер, дующий с юго-запада";"4";"";"Дымка";"";"Незначительная (10-30%) 90 м";"5.0";"8.0";
"26.05.2022 03:00";"6.0";"757.8";"759.0";"100";"Ветер, дующий с юго-запада";"2";"";"";"";"Незначительная (10-30%) 240 м";"10.0 и более";"6.0";
"26.05.2022 02:30";"6.0";"757.8";"759.0";"100";"Ветер, дующий с юго-запада";"2";"";"";"";"Незначительная (10-30%) 240 м";"10.0 и более";"6.0";
"26.05.2022 02:00";"8.0";"757.8";"759.0";"100";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"26.05.2022 01:30";"8.0";"757.8";"759.0";"100";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"26.05.2022 01:00";"7.0";"757.8";"759.0";"100";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"26.05.2022 00:30";"6.0";"757.8";"759.0";"100";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"26.05.2022 00:00";"8.0";"757.8";"759.0";"100";"Ветер, дующий с юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"25.05.2022 23:30";"8.0";"758.5";"759.7";"100";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"25.05.2022 23:00";"8.0";"758.5";"759.7";"100";"Ветер, дующий с юго-запада";"1";"";"Частичный (охватывающий часть аэродрома) туман";"";"Нет существенной облачности";"9.0";"8.0";
"25.05.2022 22:30";"8.0";"758.5";"759.7";"100";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"5.0";"8.0";
"25.05.2022 22:00";"9.0";"758.5";"759.7";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"7.0";"9.0";
"25.05.2022 21:30";"10.0";"758.5";"759.7";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"25.05.2022 21:00";"11.0";"758.5";"759.7";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"25.05.2022 20:30";"13.0";"758.5";"759.7";"82";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"25.05.2022 20:00";"13.0";"758.5";"759.7";"88";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"25.05.2022 19:30";"14.0";"758.5";"759.7";"82";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"25.05.2022 19:00";"13.0";"758.5";"759.7";"88";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"25.05.2022 18:30";"13.0";"758.5";"759.7";"88";"Ветер, дующий с северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"11.0";
"25.05.2022 18:00";"13.0";"758.5";"759.7";"88";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 930 м";"10.0 и более";"11.0";
"25.05.2022 17:30";"12.0";"758.5";"759.7";"94";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 720 м, кучево-дождевые облака";"10.0 и более";"11.0";
"25.05.2022 17:00";"12.0";"758.5";"759.7";"94";"Переменное направление";"1";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 660 м, кучево-дождевые облака";"10.0 и более";"11.0";
"25.05.2022 16:30";"12.0";"758.5";"759.7";"94";"Ветер, дующий с западо-северо-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 630 м, кучево-дождевые облака";"10.0 и более";"11.0";
"25.05.2022 16:00";"13.0";"758.5";"759.7";"88";"Ветер, дующий с западо-северо-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 270 м, разорванная (60-90%) 600 м";"10.0 и более";"11.0";
"25.05.2022 15:30";"13.0";"758.5";"759.7";"88";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Незначительная (10-30%) 270 м, рассеянная (40-50%) 600 м";"10.0 и более";"11.0";
"25.05.2022 15:00";"14.0";"758.5";"759.7";"82";"Ветер, дующий с западо-северо-запада";"6";"11";"";"";"Незначительная (10-30%) 240 м, рассеянная (40-50%) 570 м";"10.0 и более";"11.0";
"25.05.2022 14:30";"15.0";"758.5";"759.7";"82";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Рассеянная (40-50%) 210 м, разорванная (60-90%) 540 м";"10.0 и более";"12.0";
"25.05.2022 14:00";"14.0";"758.5";"759.7";"94";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 210 м, разорванная (60-90%) 510 м";"10.0 и более";"13.0";
"25.05.2022 13:30";"15.0";"758.5";"759.7";"82";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Рассеянная (40-50%) 270 м, разорванная (60-90%) 480 м";"10.0 и более";"12.0";
"25.05.2022 13:00";"14.0";"758.5";"759.7";"88";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 240 м, разорванная (60-90%) 450 м";"10.0 и более";"12.0";
"25.05.2022 12:30";"14.0";"757.8";"759.0";"94";"Ветер, дующий с северо-запада";"5";"";"";"";"Рассеянная (40-50%) 210 м, разорванная (60-90%) 450 м";"10.0 и более";"13.0";
"25.05.2022 12:00";"14.0";"757.8";"759.0";"94";"Ветер, дующий с северо-запада";"4";"";"";"";"Разорванная (60-90%) 150 м, разорванная (60-90%) 420 м";"9.0";"13.0";
"25.05.2022 11:30";"14.0";"757.8";"759.0";"94";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 180 м, разорванная (60-90%) 450 м";"9.0";"13.0";
"25.05.2022 11:00";"15.0";"757.8";"759.0";"88";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Незначительная (10-30%) 150 м, разорванная (60-90%) 510 м";"10.0 и более";"13.0";
"25.05.2022 10:30";"16.0";"757.0";"758.2";"83";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"13.0";
"25.05.2022 10:00";"17.0";"757.0";"758.2";"83";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"14.0";
"25.05.2022 09:30";"17.0";"757.0";"758.2";"77";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"13.0";
"25.05.2022 09:00";"17.0";"757.0";"758.2";"77";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"13.0";
"25.05.2022 08:30";"17.0";"757.0";"758.2";"77";"Ветер, дующий с запада";"3";"";"";"";"Рассеянная (40-50%) 1260 м";"10.0 и более";"13.0";
"25.05.2022 08:00";"17.0";"757.0";"758.2";"77";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"25.05.2022 07:30";"16.0";"757.0";"758.2";"83";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"25.05.2022 07:00";"15.0";"757.0";"758.2";"88";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"25.05.2022 06:30";"14.0";"757.0";"758.2";"88";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"25.05.2022 06:00";"13.0";"756.5";"757.7";"94";"Ветер, дующий с юго-востока";"2";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"25.05.2022 05:30";"13.0";"756.5";"757.7";"94";"Ветер, дующий с юго-востока";"2";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"25.05.2022 05:00";"12.0";"756.5";"757.7";"94";"Ветер, дующий с юго-востока";"2";"";"";"";"Рассеянная (40-50%) 1230 м";"10.0 и более";"11.0";
"25.05.2022 04:30";"13.0";"756.5";"757.7";"94";"Ветер, дующий с юга";"1";"";"";"";"Рассеянная (40-50%) 1140 м";"10.0 и более";"12.0";
"25.05.2022 04:00";"13.0";"756.5";"757.7";"94";"Ветер, дующий с юго-востока";"1";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"12.0";
"25.05.2022 03:30";"14.0";"756.5";"757.7";"88";"Ветер, дующий с юга";"2";"";"";"";"Рассеянная (40-50%) 1170 м";"10.0 и более";"12.0";
"25.05.2022 03:00";"14.0";"756.5";"757.7";"82";"Ветер, дующий с юга";"2";"";"";"";"Рассеянная (40-50%) 1080 м";"10.0 и более";"11.0";
"25.05.2022 02:30";"14.0";"756.5";"757.7";"82";"Ветер, дующий с юга";"2";"";"";"";"Разорванная (60-90%) 1110 м";"10.0 и более";"11.0";
"25.05.2022 02:00";"14.0";"756.5";"757.7";"82";"Ветер, дующий с юга";"2";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"11.0";
"25.05.2022 01:30";"15.0";"756.5";"757.7";"77";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"11.0";
"25.05.2022 01:00";"15.0";"756.5";"757.7";"77";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Сплошная (100%) 1020 м";"10.0 и более";"11.0";
"25.05.2022 00:30";"14.0";"756.5";"757.7";"88";"Ветер, дующий с юго-востока";"2";"";"";"";"Сплошная (100%) 1140 м";"10.0 и более";"12.0";
"25.05.2022 00:00";"14.0";"756.5";"757.7";"82";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1320 м";"10.0 и более";"11.0";
"24.05.2022 23:30";"14.0";"756.5";"757.7";"88";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"24.05.2022 23:00";"14.0";"756.5";"757.7";"82";"Ветер, дующий с юго-юго-востока";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 1470 м";"10.0 и более";"11.0";
"24.05.2022 22:30";"15.0";"756.5";"757.7";"77";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) дождь";"";"Рассеянная (40-50%) 1410 м";"10.0 и более";"11.0";
"24.05.2022 22:00";"16.0";"756.5";"757.7";"68";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"24.05.2022 21:30";"16.0";"756.5";"757.7";"68";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"24.05.2022 21:00";"16.0";"756.5";"757.7";"68";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"24.05.2022 20:30";"17.0";"755.7";"756.9";"59";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"24.05.2022 20:00";"18.0";"755.7";"756.9";"56";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"24.05.2022 19:30";"19.0";"755.8";"756.9";"52";"Ветер, дующий с юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"24.05.2022 19:00";"20.0";"755.8";"756.9";"49";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"24.05.2022 18:30";"21.0";"755.1";"756.2";"43";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"24.05.2022 18:00";"22.0";"755.1";"756.2";"44";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"24.05.2022 17:30";"22.0";"755.1";"756.2";"41";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"24.05.2022 17:00";"22.0";"755.1";"756.2";"38";"Ветер, дующий с юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
